genotype	P368.Earheight	P368.Earleafwidth	P368.Earleaflength	P368.Tasselmainaxislength	P368.Tasselbranchnumber	P368.Leafnumberaboveear	P368.Earlength	P368.Eardiameter	P368.Cobdiameter	P368.Kernernumberperrow	P368.100grainweight	P368.cobweight	P368.Kernelwidth	P368.Silkingtime	P368.Pollenshed	P368.Headingdate
BY804	64.48291184	9.012794419	67.67145061	32.35833864	7.578462573	5.326164984	13.51294274	3.585033197	2.28193582	22.43741537	22.51432647	15.58990509	8.86586473	75.4217	70.0436	66.6946
BY807	64.61275043	10.41292547	62.63289817	30.00913506	12.10779017	4.838814089	13.46606741	3.620961232	2.186479004	20.68338485	22.13857138	12.64531439	8.831617237	73.7391	70.4672	66.59
BY809	63.47660048	9.657016327	64.55532322	29.01053503	7.669686192	5.091239909	13.11570748	3.310339739	2.064948421	23.99481333	20.1955477	11.11572038	7.758187646	73.1055	68.8982	66.1201
BY813	77.59105878	10.05279708	60.84518937	29.63981029	4.783531069	4.837286496	12.55320067	3.855231147	2.598544835	23.69074757	22.57862071	15.56939116	7.982797529	74.4886	68.909	64.5694
BY815	73.0054322	10.04346263	59.0342907	30.31712182	6.184358	4.750267495	12.77532086	3.807472941	2.408921603	21.3948308	20.6721623	12.1132092	8.107922767	74.3318	70.4731	67.26902
BY843	55.28102987	9.50579821	65.14423336	29.81754452	14.06410055	5.720973337	11.19495114	3.779493978	2.230168155	19.72026579	NA	16.1343353	7.898108557	75.9411	71.9048	70.1413
BY855	84.88843734	8.872781313	63.65653185	29.68472123	7.484752347	5.479359764	14.14973963	3.600717517	2.300915537	25.01087522	20.99244131	19.54266599	7.423002938	72.5614	70.24457	68.0403
BZN	17.63127502	7.735904067	56.46834867	27.93586967	2.530939737	6.635022887	9.605486283	3.1166921	1.917785746	17.00184828	16.92277945	7.199251019	7.2815459	60.5787	60.784	57.4414
C8605	52.38407417	8.010419049	59.57903258	23.80820602	6.654942606	4.623468378	11.18436368	3.487617367	2.38017329	19.89653579	22.81692801	14.7787395	9.02852223	72.833	71.0458	68.1307
CA47	58.87434847	7.627977298	67.23924973	29.18877825	8.663939359	5.519573394	10.37141143	3.704124605	2.341107881	20.40925066	20.77819524	10.15098878	6.940559986	73.2038	70.022	66.9247
CF3	80.24284351	9.262192763	67.87617735	23.75577885	5.864346353	6.162991471	11.01952915	4.28280307	2.632874521	21.7185715	24.93065829	20.9597331	7.835461882	71.1694	72.3593	67.26902
CHANG3	34.96825977	7.864249414	62.49641368	33.03326856	5.114664544	5.390999203	10.9109199	3.366729345	2.031664052	18.98289617	20.07055563	12.30225528	8.255365933	64.9593	61.1179	59.3381
CHANG7-2	50.7339326	8.191311277	60.33540924	22.23252542	11.14140346	4.388667641	9.414447217	3.766861886	2.308544639	20.71765163	19.6465819	8.878811245	7.959050663	68.0644	67.1282	65.1396
CHENG698	64.0099284	9.209687848	73.50616259	29.69217902	4.12485028	5.440377164	11.42460273	3.840724091	2.48959626	21.85527792	19.87563906	18.53163696	7.219006999	75.4523	70.6898	68.9329
CHUAN48-2	62.59440071	8.988729666	63.09922018	27.00737492	11.79151816	6.441888039	12.35786394	3.874463617	2.270399128	21.78848833	23.62400451	14.3153452	8.023078585	73.0967	71.4689	69.3792
CI7	71.08524343	7.808794892	73.16813395	35.32250209	5.79317544	5.802487055	10.43658325	3.862105207	2.406046772	21.3150256	20.37029338	15.97972937	7.397547893	72.6968	70.4731	67.5562
CIMBL1	64.42572103	9.179059982	68.35387307	30.19334245	10.53814388	5.376910755	11.39046334	3.641752076	2.117631009	22.34960676	22.72725432	13.87460954	7.796747324	68.3856	66.683	63.5776
CIMBL10	61.09010583	8.050204319	90.87381402	28.94267121	9.362861462	6.729812157	13.17578197	3.684975144	2.336269913	22.95141698	22.89323307	18.86897841	7.810148517	74.3816	73.1384	69.6023
CIMBL100	62.411898	10.60325579	77.12300159	31.2210258	10.94422153	5.351879822	13.06541604	3.76667951	2.494062076	21.02153577	25.38598646	20.1830854	8.633577383	75.2934	75.1418	73.5072
CIMBL101	81.763037	9.273131287	82.06601489	36.06038518	12.32644736	5.401804906	13.16801109	3.836711823	2.449403917	22.95855608	24.25111961	22.00796927	8.228563547	74.2745	73.5836	71.6105
CIMBL102	60.32498557	8.938412457	72.02758061	30.66020005	12.52948619	5.750323031	12.50114324	3.719991301	2.19782962	21.64071286	22.90111405	13.67925643	7.970962834	71.7048	70.4672	67.4825
CIMBL103	38.31193467	8.76120837	58.72716699	24.84610763	11.03402716	5.269674408	10.17151406	4.033934504	2.614738501	21.07701083	22.09178343	11.51490387	7.6701805	73.0138	70.8744	68.3034
CIMBL105	72.79258158	8.892470656	77.34592626	33.03699746	10.96608725	6.278845023	13.88528851	3.845817231	2.592547345	22.95061679	22.42262803	24.57284143	8.070727272	75.1311	73.6949	69.8254
CIMBL106	68.89355964	8.314916597	85.28477413	33.01984454	11.51763887	6.884921872	14.00999809	3.823398389	2.668601048	19.87169064	22.94991679	24.9668541	8.26281104	73.3109	72.8045	70.3833
CIMBL107	63.27726779	8.107084643	91.83375494	33.8983721	16.96900815	7.053983255	14.08747504	3.844918735	2.786386943	18.58882827	28.3816608	31.48593013	9.083261863	76.2018	74.0288	71.8336
CIMBL108	55.06930215	8.130833476	85.54996954	33.04197975	14.00036037	7.304896755	12.25323541	3.814477077	2.555058863	18.24807678	22.19397337	21.96466224	8.288124405	78.7503	74.474	70.718
CIMBL109	66.49053506	7.640774762	81.044807	31.06168415	11.41250927	6.235806165	12.44185983	3.597815783	2.326509771	16.66848284	25.47417653	19.90296295	8.396395218	74.3763	73.0271	70.3833
CIMBL11	84.32646589	9.511591107	70.45573422	23.96534273	13.93513958	6.328770108	10.62170798	3.930452993	2.559188558	20.95751905	22.34293281	18.44158394	8.332795048	77.2725	74.9192	72.6146
CIMBL110	57.47935648	8.462039743	89.79103706	36.73345065	13.50563438	6.328633327	14.78843746	3.324187511	2.265180036	19.28576623	24.59461406	21.31746214	9.223398802	76.9513	73.6949	70.1601
CIMBL111	48.53981501	9.253441944	65.19653185	24.8893628	11.80323194	5.649788957	11.66378409	3.503259938	2.207922979	19.2886487	24.51705835	15.7395314	8.27323419	75.024	71.6915	69.937
CIMBL112	58.93463067	7.426708459	66.29750674	31.58123701	11.77589979	6.005009353	13.12202021	3.142771842	1.762412567	20.72835999	24.3956977	8.923123047	8.326838963	68.5997	63.6779	62.5735
CIMBL113	68.29923896	8.964664914	78.54471503	32.95123288	13.71257779	6.669491713	12.1620489	3.637010304	2.562351844	19.00431291	22.47075182	16.94355916	8.317904834	73.6321	70.4672	67.4825
CIMBL114	71.01271091	8.262411682	77.30498091	29.27454283	6.047862213	5.795187217	12.05007878	3.698835706	2.208994159	20.84401036	25.56939392	11.76193718	8.128799109	75.3452	74.0288	70.8295
CIMBL115	88.84453967	10.04101566	73.63127337	31.70578209	8.687366916	5.652934921	12.51564806	3.908932646	2.46726718	21.4608123	24.00466582	19.42930829	8.09901868	75.6664	75.1418	73.6187
CIMBL116	71.49231876	7.9495699	72.24368105	29.56763394	11.79932734	5.531473345	12.96812763	3.268064028	2.179408129	20.90183554	23.7513638	15.31259897	8.131777152	75.2381	72.0254	69.4907
CIMBL117	80.22429514	8.408987902	75.9287623	28.57723954	10.56938062	4.870410512	12.27649545	3.629168144	2.382044527	21.19952814	20.75762364	16.42611167	7.948627513	73.7391	72.1367	70.6064
CIMBL118	87.05473238	9.437391453	75.0302394	30.29439549	13.12158979	5.884368464	12.83935314	3.881941026	2.815600822	17.85423429	21.0567775	27.06094408	7.625509856	82.4119	79.4825	75.7385
CIMBL119	95.83959369	7.256067487	86.79065301	33.40615802	15.64144661	6.061363148	12.06688314	3.634639419	2.378323013	23.29836807	18.52716925	16.26887624	8.09901868	75.6664	74.1401	68.8213
CIMBL12	81.31710327	10.56825251	77.08888047	26.14376294	13.9234258	5.937986637	11.00467056	3.677497735	2.489968411	18.09410171	20.20781331	17.16940641	8.143689323	76.0947	76.0322	73.3956
