id,e2m,m2y,e2m2y,padj,coef,file,method,tissue,trait
GRMZM5G845021,7.92231208966878e-29,0.0353830240739268,0.0353830240739268,0.77842652962639,-0.214018158369145,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G405662,8.63800779320224e-25,0.579687668872062,0.579687668872062,1,0.0624574340577311,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G069807,4.57563664351703e-28,0.882820021846964,0.882820021846964,1,-0.0174166125049615,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G178079,3.28750124178123e-27,0.72481824253588,0.72481824253588,1,-0.0381606595060989,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G420882,1.10949345006083e-26,0.74399273871575,0.74399273871575,1,0.0334288208528609,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G034389,6.89596151142888e-27,0.0204253220991721,0.0204253220991721,0.490207730380131,0.252144972201423,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G000932,2.6790839567572e-28,0.128377347027016,0.128377347027016,1,-0.191964864602865,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G347488,8.60256924937008e-35,0.702359468723859,0.702359468723859,1,-0.035485675602222,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G118919,3.61164673593899e-31,0.0621259335323452,0.0621259335323452,1,-0.177879846391097,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G104076,4.35647564475573e-31,0.222905212508273,0.222905212508273,1,0.12965746378733,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G011173,6.11222028787142e-34,0.423307219997334,0.423307219997334,1,0.0784883981121923,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G481605,4.34335420847507e-29,0.191704035063989,0.191704035063989,1,0.144869741090292,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G403813,1.17996947234071e-32,0.901691451416382,0.901691451416382,1,0.0125766959595108,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G334631,6.44260777577311e-28,0.0579037136720744,0.0579037136720744,1,0.181580949899484,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G081032,9.19341728371737e-31,0.782084077743072,0.782084077743072,1,0.0274384765701618,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G179679,2.92792765537667e-25,0.615059957122553,0.615059957122553,1,0.0576416006264814,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G134454,1.84833034821782e-29,0.171679548839292,0.171679548839292,1,0.123424717140356,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM5G840614,1.17738395517507e-22,0.0189515257857216,0.0189515257857216,0.473788144643039,0.253290925316315,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM5G887243,2.80863956279576e-28,0.00467892256849467,0.00467892256849467,0.131009831917851,0.277494092107128,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G031354,1.4137680064991e-39,0.450648913918339,0.450648913918339,1,0.0732880682783073,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G162295,6.52794536504894e-35,0.00332746521438976,0.00332746521438976,0.096496491217303,0.294672150705698,res.eq_mediator_P368.Headingdate_ts_P368.Kern.csv,res.eq,Kern,Headingdate
GRMZM2G024563,7.82636228188222e-20,0.0992514118785406,0.0992514118785406,0.992514118785406,0.0363145075435101,res.eq_mediator_P368.Kernelwidth_ts_P368.Kern.csv,res.eq,Kern,Kernelwidth
GRMZM2G148144,2.4606010186336e-26,0.000725485676658089,0.000725485676658089,0.00943131379655515,-0.0638958833935938,res.eq_mediator_P368.Kernelwidth_ts_P368.Kern.csv,res.eq,Kern,Kernelwidth
GRMZM2G362163,2.35078387162641e-28,0.000555665428551011,0.000555665428551011,0.00777931599971415,0.0654959954960813,res.eq_mediator_P368.Kernelwidth_ts_P368.Kern.csv,res.eq,Kern,Kernelwidth
GRMZM2G054916,2.40869209784259e-27,0.545167216124477,0.545167216124477,1,-0.0137271536055915,res.eq_mediator_P368.Kernelwidth_ts_P368.Kern.csv,res.eq,Kern,Kernelwidth
GRMZM2G312543,6.02615905043952e-28,0.0530094398695988,0.0530094398695988,0.583103838565587,0.0367942879964416,res.eq_mediator_P368.Kernelwidth_ts_P368.Kern.csv,res.eq,Kern,Kernelwidth
GRMZM2G083655,1.64613883614298e-28,0.478807382383253,0.478807382383253,1,0.0159671854902305,res.eq_mediator_P368.Kernelwidth_ts_P368.Kern.csv,res.eq,Kern,Kernelwidth
GRMZM2G366803,9.22717313605484e-28,0.16685168966456,0.16685168966456,1,0.0268726483191116,res.eq_mediator_P368.Kernelwidth_ts_P368.Kern.csv,res.eq,Kern,Kernelwidth
GRMZM2G316148,1.63345166997886e-33,0.0337372878701763,0.0337372878701763,0.404847454442115,-0.0445986605168569,res.eq_mediator_P368.Kernelwidth_ts_P368.Kern.csv,res.eq,Kern,Kernelwidth
GRMZM2G305834,6.8242184530061e-36,0.177688640526494,0.177688640526494,1,-0.0270050587261414,res.eq_mediator_P368.Kernelwidth_ts_P368.Kern.csv,res.eq,Kern,Kernelwidth
GRMZM2G136262,3.06887719857437e-28,0.000381231343867805,0.000381231343867805,0.00571847015801708,-0.0711416515766551,res.eq_mediator_P368.Kernelwidth_ts_P368.Kern.csv,res.eq,Kern,Kernelwidth
GRMZM5G850640,2.43646640938643e-23,0.116733656516921,0.116733656516921,1,0.0298941626676879,res.eq_mediator_P368.Kernelwidth_ts_P368.Kern.csv,res.eq,Kern,Kernelwidth
AC177924.2_FG003,1.73650189468957e-25,0.236791608778826,0.236791608778826,1,-0.0245882261480945,res.eq_mediator_P368.Kernelwidth_ts_P368.Kern.csv,res.eq,Kern,Kernelwidth
GRMZM5G837754,1.61520252561449e-24,0.117770232802342,0.117770232802342,1,0.0309401198258401,res.eq_mediator_P368.Kernelwidth_ts_P368.Kern.csv,res.eq,Kern,Kernelwidth
GRMZM2G095968,2.69236412518918e-35,0.203662985917861,0.203662985917861,1,-0.0270500008095034,res.eq_mediator_P368.Kernelwidth_ts_P368.Kern.csv,res.eq,Kern,Kernelwidth
GRMZM2G159193,3.22844885957402e-24,0.201772409922191,0.201772409922191,1,-0.0264473198731102,res.eq_mediator_P368.Kernelwidth_ts_P368.Kern.csv,res.eq,Kern,Kernelwidth
GRMZM2G024563,2.80565170249006e-20,0.415795015315562,0.415795015315562,0.415795015315562,-0.0865754465114327,res.eq_mediator_P368.Kernernumberperrow_ts_P368.Kern.csv,res.eq,Kern,Kernernumberperrow
GRMZM2G127224,5.84244514147881e-26,0.0102478314735233,0.0102478314735233,0.0307434944205698,-0.281472056536148,res.eq_mediator_P368.Kernernumberperrow_ts_P368.Kern.csv,res.eq,Kern,Kernernumberperrow
GRMZM2G035820,9.40491207555201e-26,0.0110583052904187,0.0110583052904187,0.0307434944205698,0.267213474555529,res.eq_mediator_P368.Kernernumberperrow_ts_P368.Kern.csv,res.eq,Kern,Kernernumberperrow
GRMZM2G024563,2.80565170249006e-20,0.119158963842796,0.119158963842796,0.119158963842796,0.032140719100612,res.eq_mediator_P368.Leafnumberaboveear_ts_P368.Kern.csv,res.eq,Kern,Leafnumberaboveear
GRMZM5G891430,7.45057031153446e-21,0.00148910166982774,0.00148910166982774,0.00446730500948322,-0.0657395606816553,res.eq_mediator_P368.Leafnumberaboveear_ts_P368.Kern.csv,res.eq,Kern,Leafnumberaboveear
GRMZM2G049790,5.53791615728037e-36,0.00305212656634435,0.00305212656634435,0.0061042531326887,0.060455977572772,res.eq_mediator_P368.Leafnumberaboveear_ts_P368.Kern.csv,res.eq,Kern,Leafnumberaboveear
