OrigColNameFromRNAExpressionValue_RNA_TaxaName,Tissue,TissueWODate,RNA_TaxaName,RNA_TaxaName_WOUnderscoreOrDot,HMP32Name,RawPhenotypeNames,CarotToco_GBSNames,AmesName,AC148152.3_FG005,AC148152.3_FG008,AC149475.2_FG002,GRMZM2G171650
KAKRNA6_10346261_GRoot_A634_ACGTCT,GRoot,GRoot,A634,A634,282set_A634,A634,A634:8042MABXX:4:C1,Ames19308,21.80876,0,5.45219,11.99482
KAKRNA20_10346930_L3Base_A634_GGTGAG,L3Base,L3Base,A634,A634,282set_A634,A634,A634:8042MABXX:4:C1,Ames19308,0.29336,9.09414,2.93359,2.93359
KAKRNA16_Kern_A634_GTGCCA,Kern,Kern,A634,A634,282set_A634,A634,A634:8042MABXX:4:C1,Ames19308,2.56078,0,1.02431,5.12156
10343262_LMAN8_A635_CGGTTA,LMAN8,LMAN,A635,A635,282set_A635,A635,A635:8042MABXX:4:H9,Ames19309,0,63.16589,0,16.52939
KAKRNA3_GShoot_A635_ACGTCT,GShoot,GShoot,A635,A635,282set_A635,A635,A635:8042MABXX:4:H9,Ames19309,119.74383,2.9607,3.28967,3.28967
KAKRNA4_10346258_GRoot_A635_ACGTCT,GRoot,GRoot,A635,A635,282set_A635,A635,A635:8042MABXX:4:H9,Ames19309,0.56025,0,1.96089,2.80127
KAKRNA20_10346930_L3Base_A635_CATCTA,L3Base,L3Base,A635,A635,282set_A635,A635,A635:8042MABXX:4:H9,Ames19309,0.4276,6.84165,3.42082,2.99322
KAKRNA18_Kern_A635_CCGACC,Kern,Kern,A635,A635,282set_A635,A635,A635:8042MABXX:4:H9,Ames19309,2.8366,0,0,15.034
10344823_LMAD8_A641_AGTACT,LMAD8,LMAD,A641,A641,282set_A641,A641,A641:8042MABXX:3:G6,Ames19311,0,100.88791,0.42037,23.12015
10344826_LMAN8_A641_ATGGCG,LMAN8,LMAN,A641,A641,282set_A641,A641,A641:8042MABXX:3:G6,Ames19311,0,73.54372,0,17.19204
KAKRNA14_GShoot_A641_TGGATT,GShoot,GShoot,A641,A641,282set_A641,A641,A641:8042MABXX:3:G6,Ames19311,4.45504,1.9093,8.91007,10.81938
KAKRNA2_10346259_GRoot_A641_GTCAGG,GRoot,GRoot,A641,A641,282set_A641,A641,A641:8042MABXX:3:G6,Ames19311,5.23301,0,6.77214,6.46431
KAKRNA20_10346930_L3Base_A641_TGCACG,L3Base,L3Base,A641,A641,282set_A641,A641,A641:8042MABXX:3:G6,Ames19311,0,7.00121,3.63026,10.89077
KAKRNA18_Kern_A641_TGGATT,Kern,Kern,A641,A641,282set_A641,A641,A641:8042MABXX:3:G6,Ames19311,0.84977,0,2.5493,16.9953
10344823_LMAD8_A654_TATGTC,LMAD8,LMAD,A654,A654,282set_A654,A654,A654:8042MABXX:2:A12,PI587141,0,91.36239,0,25.56998
10344826_LMAN8_A654_CTCCAT,LMAN8,LMAN,A654,A654,282set_A654,A654,A654:8042MABXX:2:A12,PI587141,0,51.26193,0,25.63096
KAKRNA14_GShoot_A654_GAGTCC,GShoot,GShoot,A654,A654,282set_A654,A654,A654:8042MABXX:2:A12,PI587141,19.31921,4.49284,2.6957,20.21777
KAKRNA2_10346259_GRoot_A654_TCTTAA,GRoot,GRoot,A654,A654,282set_A654,A654,A654:8042MABXX:2:A12,PI587141,53.49008,0,1.65861,7.87838
KAKRNA23_10346932_L3Base_A654_CGCAAC,L3Base,L3Base,A654,A654,282set_A654,A654,A654:8042MABXX:2:A12,PI587141,0,9.5847,0.70998,11.71463
KAKRNA24_L3Tip_A654_CGCAAC,L3Tip,L3Tip,A654,A654,282set_A654,A654,A654:8042MABXX:2:A12,PI587141,0,85.6916,0,19.72267
KAKRNA17_Kern_A654_GGTATA,Kern,Kern,A654,A654,282set_A654,A654,A654:8042MABXX:2:A12,PI587141,0.82203,0,0.54802,13.97451
10344823_LMAD8_A659_GGCTGC,LMAD8,LMAD,A659,A659,282set_A659,A659,A659:8042MABXX:2:D11,NSL81599,0,87.18252,0.44709,30.8492
10344826_LMAN8_A659_AATGAA,LMAN8,LMAN,A659,A659,282set_A659,A659,A659:8042MABXX:2:D11,NSL81599,0,45.50449,0,29.07231
KAKRNA6_10346261_GRoot_A659_CCGACC,GRoot,GRoot,A659,A659,282set_A659,A659,A659:8042MABXX:2:D11,NSL81599,26.92939,1.17084,2.34169,3.51253
KAKRNA27_10346929_L3Tip_A659_CTCATA,L3Tip,L3Tip,A659,A659,282set_A659,A659,A659:8042MABXX:2:D11,NSL81599,0.86202,81.03024,0,12.06833
