RawPhenotypeNames,TissueWODate,AC148152.3_FG001,AC148152.3_FG005,AC148152.3_FG008
CH9,Kern,0.5911,0.88664,0
CI187-2,LMAN,0,0.54089,56.79362
CI187-2,GShoot,0,151.39039,3.13094
CI187-2,L3Base,0,45.65084,15.51242
CI187-2,L3Mid,0,23.43896,131.84414
CI187-2,L3Tip,0,15.34696,32.49945
CI187-2,Kern,0,0,0
CI21E,LMAN,0.51568,0,20.11141
CI21E,LMAD,1.16771,0,45.54066
CI21E,GShoot,0,26.35312,5.9507
CI21E,L3Base,0,0.41651,6.66422
CI21E,L3Tip,1.34874,0,88.11769
CI21E,Kern,0,0,0
CI28A,LMAD,0,0,55.97357
CI28A,LMAN,0,0,25.44119
CI28A,GShoot,0,78.69668,2.9328
CI28A,GRoot,1.06979,6.41873,0
CI28A,L3Base,0,1.32186,12.42545
CI28A,L3Tip,0.48536,1.45608,89.30635
CI28A,Kern,0,0,0
CI31A,LMAD,0,0,123.2334
CI31A,LMAN,0,0,60.87666
CI31A,GShoot,0,23.64406,5.91101
CI31A,GRoot,0,4.19401,0.699
CI31A,L3Tip,0,0,143.06943
CI31A,L3Base,0.37846,4.91993,10.59677
CI31A,Kern,0,0,0
CI31A,Kern,0,0,0
CI3A,LMAN,0,0,46.25525
CI3A,GShoot,0,19.75027,0.85871
CI3A,GRoot,1.17953,6.78232,0
CI3A,L3Tip,0,1.41497,104.70741
CI3A,L3Base,0,11.7471,8.05515
CI3A,Kern,0,0,0
CI64,LMAN,0,0,26.27035
CI64,LMAD,0.40647,0,50.8091
CI64,GShoot,0,300.08568,5.03922
CI64,GRoot,2.0124,8.04959,0
CI64,L3Base,0.8546,38.02966,24.78337
CI64,L3Tip,0,0,86.95792
CI66,LMAD,0,0,36.6249
CI66,LMAN,0,0,10.29983
CI66,GShoot,0,13.26716,2.21119
CI66,GRoot,0,0.85395,1.28093
CI66,L3Tip,0,0,57.71334
CI66,L3Base,0,0,3.50729
CI66,Kern,0,0,0
CI66,Kern,0,0,0
CM105,LMAD,0,0,94.88208
CM105,LMAN,0,0,31.6522
CM105,GShoot,0,70.828,2.04705
CM105,GRoot,0,0,0.72288
CM105,L3Base,0,1.35814,16.29763
CM105,L3Tip,0,0,155.99407
CM105,Kern,0,2.67847,0
CM37,LMAD,0,0,124.95191
CM37,LMAN,0,0,30.61665
CM37,GShoot,0,3.29979,1.6499
CM37,GRoot,1.21561,1.82341,0.6078
CM37,L3Tip,0,3.65493,74.31688
CM37,L3Base,0,0.39947,3.99467
CM37,Kern,0,0,0
CM7,GShoot,0,2.35212,8.23241
CM7,LMAD,0,0,88.54433
CM7,LMAN,0,0,46.56062
CM7,L3Tip,0,2.32866,70.44199
CM7,L3Base,0,0,3.08347
CM7,Kern,0,0.32551,0.32551
CML10,LMAN,0,0,11.57246
CML10,LMAD,0,0,83.31251
CML10,GShoot,0,20.46156,8.38588
CML10,GRoot,0,0.3471,0
CML108,LMAD,0,0.62984,105.81261
CML108,L3Mid,0,1.58972,149.43335
CML108,L3Base,0.84944,1.13259,9.62699
CML108,LMAN,0.35863,0,58.81578
CML108,GShoot,0,10.4424,7.95612
CML108,GRoot,2.87083,25.01726,0
CML108,L3Base,0.64768,5.82909,23.96403
CML108,L3Tip,0,0,170.87366
CML11,LMAD,0,0,93.12142
CML11,GShoot,0,14.92128,7.46064
CML11,LMAN,0,0,20.37639
CML11,L3Tip,0,0,139.65677
CML11,L3Base,0,1.17685,34.12874
CML11,Kern,0,0,0.3111
CML14,GShoot,0.69636,31.10401,12.76657
CML14,GRoot,2.77705,5.5541,0
CML14,L3Tip,0,0.93763,98.45088
CML14,L3Base,0,13.19328,30.58441
CML154Q,LMAD,0,0,97.84896
CML154Q,LMAN,0,0,25.65553
CML154Q,GShoot,0,199.23602,4.4873
CML154Q,GRoot,0.38942,18.69215,0.38942
CML154Q,L3Tip,0,0,147.08811
CML154Q,L3Base,0,0.25049,9.01761
CML154Q,Kern,0,0,0
CML157Q,LMAD,0,0,84.77437
CML157Q,LMAN,0,0.33568,27.86139
CML157Q,GShoot,0,32.15857,2.58417
CML157Q,GRoot,0,2.76879,0.39554
CML157Q,L3Base,0,3.99387,27.15829
CML157Q,L3Tip,0,16.83939,144.81875
CML157Q,Kern,0,1.84872,0.46218
CML158Q,LMAD,0,7.89677,100.02576
CML158Q,LMAN,0.43245,3.02712,57.94764
CML158Q,GShoot,0.35301,28.94705,10.59038
CML158Q,GRoot,2.43287,5.27122,0
CML158Q,L3Base,0,0.57571,20.14995
CML158Q,L3Tip,1.76973,4.42432,95.56532
CML218,LMAD,0,0,51.72055
CML218,LMAN,0,0,15.97529
CML218,GShoot,0,33.73327,4.76234
CML218,GRoot,0.35097,65.98286,0.70195
CML218,L3Base,0,1.79554,4.1896
CML218,L3Tip,0,0.47789,94.6213
CML218,Kern,0,0,1.48445
CML220,LMAD,0,0,50.51586
CML220,LMAN,0,0,40.89648
CML220,GShoot,0,68.08782,4.58623
CML220,GRoot,0.96854,15.81955,0
CML220,L3Base,0,0.38724,27.10714
CML220,L3Tip,0,0,156.39762
CML220,Kern,0,0.72974,0
CML228,LMAD,0,0.64016,63.37562
CML228,LMAN,0,6.78774,43.7432
CML228,GShoot,0,178.04941,8.69319
CML228,GRoot,3.82246,32.1724,0
CML228,L3Base,0,2.79398,12.29351
CML228,L3Mid,0,11.70225,73.90897
CML228,L3Tip,3.1688,6.3376,88.72647
CML228,Kern,0,0.39568,0.39568
CML228,Kern,0,1.26473,0
CML238,LMAD,0,0,88.94614
CML238,GShoot,0,398.94064,23.23221
CML238,LMAN,0,0.31495,33.70014
CML238,L3Base,0,23.39237,36.10562
CML238,L3Tip,0,0,198.7898
CML247,GShoot,0.24624,18.71445,1.7237
CML247,GRoot,1.84262,16.58354,0
CML247,L3Base,0.237,0.94798,12.08678
CML247,L3Tip,0,0,102.61463
CML254,GShoot,0,7.65812,2.39316
CML254,GRoot,1.01763,41.723,0
CML254,L3Tip,0,0.92033,21.16749
CML254,L3Base,0,10.51288,2.10258
CML258,GShoot,0,98.40374,6.31951
CML258,GRoot,0,18.94641,0
CML258,L3Base,0,6.93093,38.61516
CML258,L3Tip,0,4.46083,86.24268
CML261,LMAD,0,0,97.48367
CML261,LMAN,0,3.36995,30.32951
CML261,GShoot,0,19.0651,0
CML261,GRoot,0,6.4517,0
CML261,L3Base,0,0,16.69688
CML261,L3Tip,0.5056,0,204.26177
CML264,GShoot,0,246.34875,13.77105
CML264,GRoot,0.46965,0.9393,0
CML277,LMAD,0,0,114.64946
CML277,LMAN,0,0,25.88579
CML277,GShoot,0,3.7246,1.48984
CML277,GRoot,3.36802,0,0
CML277,L3Base,0,0,12.06266
CML277,L3Mid,0,0,128.6714
CML277,L3Tip,0,1.23865,98.47251
CML281,GShoot,0,247.94542,3.85407
CML281,L3Tip,0,2.06613,82.6451
CML281,L3Base,0,0.75242,5.26696
CML287,GShoot,0,42.42317,10.7277
CML311,GShoot,0,36.34286,21.37815
CML311,L3Base,0,0.84735,21.60755
CML311,L3Mid,0,0.48863,125.08859
CML311,L3Tip,0,2.54062,97.0517
CML314,LMAD,0,0.64995,123.81489
CML314,LMAN,0,0,35.15349
CML314,GShoot,0,18.97036,11.24671
CML314,GRoot,0,24.10991,0
CML314,L3Tip,0,2.80177,126.07985
CML314,L3Base,0,0.81105,16.22108
CML314,Kern,0,3.5567,0
CML321,GShoot,0,0.53867,4.04001
CML321,GRoot,1.03026,0.34342,0
CML321,L3Base,0,1.21645,20.9837
CML321,L3Mid,0,0.7598,126.12727
CML321,L3Tip,0,0.40944,76.56463
CML322,LMAD,0,0,58.70978
CML322,GShoot,0,28.28122,2.35677
CML322,LMAN,0,0,17.56149
CML322,L3Base,0,1.80565,5.41696
CML322,L3Tip,0.90713,0.45357,96.60943
CML322,Kern,0,0,0
CML323,LMAD,0,0,51.45411
CML323,L3Mid,0,1.34763,71.42434
CML323,L3Base,0,0.69487,1.15812
CML323,LMAN,0.31167,0.62335,28.05054
CML323,GShoot,0,1.50407,0
CML323,GRoot,0,2.14541,0
CML323,L3Base,0,3.14025,4.03747
CML323,L3Tip,0,0,38.91969
CML323,Kern,0,0,0.26783
CML328,LMAN,1.21171,0,33.32193
CML328,GShoot,1.07554,16.13314,6.45325
CML328,GRoot,4.71258,137.84298,0
CML328,L3Base,0,0,20.72512
CML328,L3Tip,0,0,101.17433
CML331,LMAD,1.20802,0,58.3875
CML331,LMAN,0,0,26.67294
CML331,GShoot,0,2.53989,0.95246
CML331,GRoot,1.35271,0,0
CML331,L3Tip,0,0,71.64463
CML331,L3Base,0,0.53796,0.53796
CML332,GShoot,0,3.63694,1.39882
CML332,GRoot,1.22211,2.44422,0
CML332,L3Base,2.47044,0,5.92906
CML332,L3Mid,0,0,67.90269
CML332,L3Tip,0,0,62.05996
CML333,LMAD,0,0,38.45919
CML333,LMAN,0,0.4235,23.71587
CML333,GShoot,0,42.73908,1.59772
CML333,GRoot,1.83809,34.55604,0
CML333,L3Base,0,11.44733,23.31863
CML333,L3Tip,0,0,40.22316
CML333,Kern,0,0,0
CML341,LMAD,1.55668,0,73.164
CML341,GShoot,0.77608,44.23644,2.71627
CML341,LMAN,0,0,8.78911
