OrigColNameFromRNAExpressionValue_RNA_TaxaName,Tissue,TissueWODate,RNA_TaxaName,RNA_TaxaName_WOUnderscoreOrDot,HMP32Name,RawPhenotypeNames,CarotToco_GBSNames,AmesName,AC192244.3_FG007,GRMZM2G000231,GRMZM2G003124,GRMZM2G020148,GRMZM2G037048,GRMZM2G054225,GRMZM2G055802,GRMZM2G056697,GRMZM2G104316,GRMZM2G106950,GRMZM2G140559,GRMZM2G353905,GRMZM2G398500,GRMZM2G402493,GRMZM2G468111,GRMZM2G472671
10344823_LMAD8_A556_TCGTTC,LMAD8,LMAD,A556,A556,282set_A556,A556,A556:8042MABXX:4:C8,Ames23450,5.50591,0,6.19414,1.37648,41.98254,8.25886,10.32357,1.37648,4.12943,0,51.61787,0,28.21777,23.4001,22.71186,3.44119
10344826_LMAN8_A556_ACAGAT,LMAN8,LMAN,A556,A556,282set_A556,A556,A556:8042MABXX:4:C8,Ames23450,10.53162,0,7.89871,0,48.2699,18.43033,47.39227,1.75527,21.94087,7.02108,43.88173,0,28.08431,25.4514,5.26581,11.40925
KAKRNA14_GShoot_A556_CGCCTG,GShoot,GShoot,A556,A556,282set_A556,A556,A556:8042MABXX:4:C8,Ames23450,0,0.51455,5.14545,30.87271,22.63999,39.10543,10.2909,0,9.26181,49.91088,9.26181,0.51455,4.11636,83.87086,46.30906,10.2909
KAKRNA2_10346259_GRoot_A556_AGATAG,GRoot,GRoot,A556,A556,282set_A556,A556,A556:8042MABXX:4:C8,Ames23450,3.30746,0.55124,10.74924,2.48059,17.91541,12.40297,18.19103,0,13.22984,1.37811,17.91541,1.37811,1.37811,76.89843,213.60676,0.27562
KAKRNA23_10346932_L3Base_A556_ACAGAT,L3Base,L3Base,A556,A556,282set_A556,A556,A556:8042MABXX:4:C8,Ames23450,6.56881,0,17.51682,84.66464,39.41285,10.94801,2.91947,0.72987,10.21815,65.68808,21.89603,3.64934,5.83894,88.31397,2.91947,33.57391
KAKRNA24_L3Tip_A556_ACAGAT,L3Tip,L3Tip,A556,A556,282set_A556,A556,A556:8042MABXX:4:C8,Ames23450,1.12842,0.56421,6.7705,45.70088,19.18308,5.64208,1.12842,0,13.541,105.50697,35.54513,0.56421,44.00825,16.92625,8.46313,139.35947
KAKRNA16_Kern_A556_ATATCC,Kern,Kern,A556,A556,282set_A556,A556,A556:8042MABXX:4:C8,Ames23450,1.71986,1.43322,4.5863,6.01952,27.23114,37.83696,3.15308,0,16.62533,1.71986,5.44623,7.45273,4.01301,24.07806,6.5928,0
10343264_LMAD26_A6_AAGTGG,LMAD26,LMAD,A6,A6,282set_A6,A6,A6:8042MABXX:3:C5,Ames27062,2.82563,5.33729,7.535,3.13958,20.4073,11.61646,37.67502,20.4073,9.73271,2.19771,32.65168,1.56979,17.58168,14.44209,1.25583,0
10344827_LMAN26_A6_ATGAAC,LMAN26,LMAN,A6,A6,282set_A6,A6,A6:8042MABXX:3:C5,Ames27062,3.68565,7.89782,7.89782,1.05304,30.01173,20.00782,47.91346,27.37912,10.00391,1.57956,21.58738,1.57956,15.26913,18.42826,0.52652,0
KAKRNA3_GShoot_A6_GGAGGT,GShoot,GShoot,A6,A6,282set_A6,A6,A6:8042MABXX:3:C5,Ames27062,0.31327,14.41033,9.39804,20.98896,19.10935,28.19413,33.51968,5.32556,9.08477,60.77401,20.98896,1.56634,8.14497,85.20892,1.25307,0
KAKRNA4_10346258_GRoot_A6_GGAGGT,GRoot,GRoot,A6,A6,282set_A6,A6,A6:8042MABXX:3:C5,Ames27062,2.48739,12.43697,7.95966,53.23024,24.87394,19.40168,17.90924,0,24.87394,1.98992,20.39663,0,5.47227,66.66217,309.43187,0
